"Timestamp","Rank your preferences for Trip Leaders! (1 = first choice) [All]","Rank your preferences for Trip Leaders! (1 = first choice) [Cows]","Rank your preferences for Trip Leaders! (1 = first choice) [Eat]","Rank your preferences for Trip Leaders! (1 = first choice) [Grass .]"
"2020/04/23 3:48:44 PM EST","1","2","3","4"
"2020/04/23 3:48:50 PM EST","4","3","2","1"
"2020/04/23 3:49:21 PM EST","","2","1",""
"2020/04/23 3:49:28 PM EST","4","1","2",""
"2020/04/23 3:49:33 PM EST","","","",""
"2020/04/23 3:49:36 PM EST","","","",""
"2020/04/23 3:49:49 PM EST","3","1","2","4"
"2020/04/23 3:49:59 PM EST","4","3","2","1"
"2020/04/23 3:50:07 PM EST","1","3","2","4"
"2020/04/23 3:50:13 PM EST","3","4","2","1"
"2020/04/23 3:50:35 PM EST","4","3","1","2"
"2020/04/23 3:50:42 PM EST","3","1","2","4"
"2020/04/23 3:50:49 PM EST","4","3","2","1"
"2020/04/23 3:50:56 PM EST","3","2","4","1"